Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:conditionTemper,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:fractureToughness,attr:hardness,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:specificationStandard,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,Aluminium 6061-T6 (solution heat treated and artificially aged),n5Aluminium,,,,69000,276,T6,User-provided source CSV,2700,12,96.5,29,95,Metal,A96061,Isotropic,Aluminium 6061-T6,150,582,0.33,20,26000,207,896,ASTM B209 / AMS 4027,167,0.0000236,310,SI,276,68900
,"Aluminium 5052-H32 (strain hardened, quarter hard, stabilised)",n5Aluminium,,,,69000,193,H32,User-provided source CSV,2680,12,117,,60,Metal,A95052,Isotropic,Aluminium 5052-H32,150,607,0.33,20,25900,138,880,ASTM B209 / AMS 4015,138,0.0000238,228,SI,193,70300
,"Aluminium 2024-T3 (solution heat treated, cold worked, naturally aged sheet)",n5Aluminium,,,,73000,345,T3,User-provided source CSV,2780,18,138,37,120,Metal,A92024,Isotropic,Aluminium 2024-T3,120,502,0.33,20,28000,283,875,ASTM B209 / AMS 4037,121,0.0000229,483,SI,345,73100
,"Aluminium 6061-T651 (solution heat treated, stress relieved, aged plate)",n5Aluminium,,,,69000,276,T651,User-provided source CSV,2700,10,96.5,29,95,Metal,A96061,Isotropic,Aluminium 6061-T651,150,582,0.33,20,26000,207,896,ASTM B209 / AMS 4027,167,0.0000236,310,SI,276,68900
,"Aluminium 5052-H34 (strain hardened, half hard, stabilised)",n5Aluminium,,,,69000,214,H34,User-provided source CSV,2680,10,124,,68,Metal,A95052,Isotropic,Aluminium 5052-H34,150,607,0.33,20,25900,145,880,ASTM B209 / AMS 4015,138,0.0000238,262,SI,214,70300
,"Aluminium 2024-T351 (solution heat treated, stress relieved, naturally aged)",n5Aluminium,,,,73000,324,T351,User-provided source CSV,2780,19,138,37,120,Metal,A92024,Isotropic,Aluminium 2024-T351,120,502,0.33,20,28000,283,875,ASTM B209 / AMS 4035,121,0.0000229,469,SI,324,73100
,1100-O — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69990,63.81,O,Curated engineering reference values; see Sources tab,2754,10.37,41.02,,HB 50-100,Metal,1100O,Isotropic,1100-O,150,650,0.33,20,26840,52.87,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,173.4,0.000023,91.15,SI,54.69,71390
,1100-H12 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,66210,92.85,H12,Curated engineering reference values; see Sources tab,2605,13.64,59.69,,HB 50-100,Metal,1100H12,Isotropic,1100-H12,150,650,0.33,20,25390,76.94,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,164,0.000023,132.6,SI,79.59,67530
,1100-H14 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,67170,94.2,H14,Curated engineering reference values; see Sources tab,2643,12.76,60.56,,HB 50-100,Metal,1100H14,Isotropic,1100-H14,150,650,0.33,20,25760,78.06,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,166.4,0.000023,134.6,SI,80.75,68510
,1100-H16 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,68090,95.5,H16,Curated engineering reference values; see Sources tab,2679,11.45,61.39,,HB 50-100,Metal,1100H16,Isotropic,1100-H16,150,650,0.33,20,26110,79.13,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,168.7,0.000023,136.4,SI,81.86,69460
,1100-H18 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,66940,112.7,H18,Curated engineering reference values; see Sources tab,2633,10.23,72.42,,HB 50-100,Metal,1100H18,Isotropic,1100-H18,150,650,0.33,20,25670,93.34,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,165.8,0.000023,160.9,SI,96.56,68280
,2011-T3 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69810,178,T3,Curated engineering reference values; see Sources tab,2747,12.79,114.4,,HB 50-100,Metal,2011T3,Isotropic,2011-T3,150,650,0.33,20,26770,147.5,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,172.9,0.000023,254.3,SI,152.6,71210
,2014-T6 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,65590,242.5,T6,Curated engineering reference values; see Sources tab,2580,10.7,155.9,,HB 50-100,Metal,2014T6,Isotropic,2014-T6,150,650,0.33,20,25150,200.9,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,162.5,0.000023,346.4,SI,207.9,66900
,2014-T651 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69120,255.6,T651,Curated engineering reference values; see Sources tab,2719,11.8,164.3,,HB 50-100,Metal,2014T651,Isotropic,2014-T651,150,650,0.33,20,26510,211.8,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,171.2,0.000023,365.1,SI,219.1,70500
,2017-T4 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,68740,254.2,T4,Curated engineering reference values; see Sources tab,2704,12.11,163.4,,HB 50-100,Metal,2017T4,Isotropic,2017-T4,150,650,0.33,20,26360,210.6,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,170.3,0.000023,363.1,SI,217.9,70110
,2024-O — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,69250,166.4,O,Curated engineering reference values; see Sources tab,2724,12.78,107,,HB 50-100,Metal,2024O,Isotropic,2024-O,150,650,0.33,20,26550,137.9,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,171.5,0.000023,237.7,SI,142.6,70630
,2024-T3 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Aluminium,,,,71520,264.5,T3,Curated engineering reference values; see Sources tab,2814,11.39,170,,HB 50-100,Metal,2024T3,Isotropic,2024-T3,150,650,0.33,20,27430,219.1,900,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,177.2,0.000023,377.8,SI,226.7,72950
