Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:youngsModulus
,Alumina 96% — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,194400,262.4,Curated engineering reference values; see Sources tab,4093,0.09707,118.1,Ceramic,ALUMINA96,Isotropic,Alumina 96%,1500,2000,0.23,20,128000,152.2,800,26.24,0.000007,262.4,SI,314900
,Alumina 99.5% — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,177100,239,Curated engineering reference values; see Sources tab,3729,0.08747,107.6,Ceramic,ALUMINA995,Isotropic,Alumina 99.5%,1500,2000,0.23,20,116600,138.6,800,23.9,0.000007,239,SI,286800
,Alumina 99.9% — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,184500,249.1,Curated engineering reference values; see Sources tab,3887,0.094,112.1,Ceramic,ALUMINA999,Isotropic,Alumina 99.9%,1500,2000,0.23,20,121500,144.5,800,24.91,0.000007,249.1,SI,299000
,Alumina 99.99% — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,178200,240.6,Curated engineering reference values; see Sources tab,3754,0.1102,108.3,Ceramic,ALUMINA9999,Isotropic,Alumina 99.99%,1500,2000,0.23,20,117400,139.6,800,24.06,0.000007,240.6,SI,288700
,Aluminum nitride — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,160200,259.6,Curated engineering reference values; see Sources tab,3946,0.08911,116.8,Ceramic,ALUMINUMNITRIDE,Isotropic,Aluminum nitride,1000,2000,0.23,20,105500,150.6,800,20.77,0.000007,259.6,SI,259600
,Silicon nitride — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,193000,729.6,Curated engineering reference values; see Sources tab,3335,0.09743,328.3,Ceramic,SILICONNITRIDE,Isotropic,Silicon nitride,1200,2000,0.23,20,127100,423.2,800,26.06,0.000007,729.6,SI,312700
,Silicon carbide — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,259000,358.2,Curated engineering reference values; see Sources tab,3173,0.09579,161.2,Ceramic,SILICONCARBIDE,Isotropic,Silicon carbide,1600,2000,0.23,20,170600,207.8,800,102.4,0.000007,358.2,SI,419600
,Zirconia 3Y-TZP — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,134000,1034,Curated engineering reference values; see Sources tab,6203,0.08874,465.2,Ceramic,ZIRCONIA3YTZP,Isotropic,Zirconia 3Y-TZP,1000,2000,0.23,20,88250,599.6,800,2.585,0.000007,1034,SI,217100
,Zirconia 8Y — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,129900,1002,Curated engineering reference values; see Sources tab,6012,0.1138,450.9,Ceramic,ZIRCONIA8Y,Isotropic,Zirconia 8Y,1000,2000,0.23,20,85540,581.1,800,2.505,0.000007,1002,SI,210400
,Mullite 60% — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Ceramic,,,,147300,238.6,Curated engineering reference values; see Sources tab,3626,0.1046,107.3,Ceramic,MULLITE60,Isotropic,Mullite 60%,1000,2000,0.23,20,96970,138.4,800,19.08,0.000007,238.6,SI,238600
