Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,GFRP E-glass epoxy UD — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,23810,440,Curated engineering reference values; see Sources tab,1810,1.507,282.9,Composite,GFRPEGLASSEPOXYU,Orthotropic,GFRP E-glass epoxy UD,120,150,0.3,20,10990,364.6,900,0.9525,0.000005,628.6,SI,419.1,28570
,GFRP E-glass epoxy woven — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,24650,455.6,Curated engineering reference values; see Sources tab,1874,1.675,292.9,Composite,GFRPEGLASSEPOXYW,Orthotropic,GFRP E-glass epoxy woven,120,150,0.3,20,11380,377.5,900,0.9861,0.000005,650.8,SI,433.9,29580
,GFRP S-glass epoxy UD — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,24960,461.3,Curated engineering reference values; see Sources tab,1897,1.7,296.6,Composite,GFRPSGLASSEPOXYU,Orthotropic,GFRP S-glass epoxy UD,120,150,0.3,20,11520,382.3,900,0.9986,0.000005,659.1,SI,439.4,29960
,GFRP E-glass polyester — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,25080,463.5,Curated engineering reference values; see Sources tab,1906,1.287,298,Composite,GFRPEGLASSPOLYES,Orthotropic,GFRP E-glass polyester,120,150,0.3,20,11580,384.1,900,1.003,0.000005,662.2,SI,441.5,30100
,GFRP E-glass vinyl ester — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,24460,451.9,Curated engineering reference values; see Sources tab,1859,1.714,290.5,Composite,GFRPEGLASSVINYLE,Orthotropic,GFRP E-glass vinyl ester,120,150,0.3,20,11290,374.5,900,0.9782,0.000005,645.6,SI,430.4,29350
,CFRP carbon epoxy UD high strength — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,115700,777.5,Curated engineering reference values; see Sources tab,1594,1.465,499.8,Composite,CFRPCARBONEPOXYU,Orthotropic,CFRP carbon epoxy UD high strength,120,150,0.3,20,53400,644.2,900,5.142,0.000005,1111,SI,740.4,138800
,CFRP carbon epoxy UD high modulus — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,114500,769.3,Curated engineering reference values; see Sources tab,1577,1.399,494.5,Composite,CFRPCARBONEPOXYU,Orthotropic,CFRP carbon epoxy UD high modulus,120,150,0.3,20,52840,637.4,900,5.088,0.000005,1099,SI,732.7,137400
,CFRP carbon epoxy woven — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,116900,785.7,Curated engineering reference values; see Sources tab,1611,1.604,505.1,Composite,CFRPCARBONEPOXYW,Orthotropic,CFRP carbon epoxy woven,120,150,0.3,20,53960,651,900,5.196,0.000005,1122,SI,748.2,140300
,CFRP carbon bismaleimide — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,108400,728.3,Curated engineering reference values; see Sources tab,1493,1.464,468.2,Composite,CFRPCARBONBISMAL,Orthotropic,CFRP carbon bismaleimide,120,150,0.3,20,50020,603.4,900,4.817,0.000005,1040,SI,693.6,130000
,CFRP carbon PEEK UD — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Composite,,,,118000,793.2,Curated engineering reference values; see Sources tab,1626,1.721,509.9,Composite,CFRPCARBONPEEKUD,Orthotropic,CFRP carbon PEEK UD,120,150,0.3,20,54480,657.3,900,5.246,0.000005,1133,SI,755.5,141700
