Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:specificationStandard,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,Pure copper annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,115200,137.2,Curated engineering reference values; see Sources tab,8544,21.72,88.2,Metal,PURECOPPERANNEAL,Isotropic,Pure copper annealed,250,1000,0.34,20,41260,113.7,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,120.6,0.000017,196,SI,130.7,110600
,C10100 OFE copper — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,116300,138.5,Curated engineering reference values; see Sources tab,8626,23.92,89.05,Metal,C10100OFECOPPER,Isotropic,C10100 OFE copper,250,1000,0.34,20,41650,114.8,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,121.8,0.000017,197.9,SI,131.9,111600
,C10200 OF copper — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,115100,137.1,Curated engineering reference values; see Sources tab,8540,25.93,88.16,Metal,C10200OFCOPPER,Isotropic,C10200 OF copper,250,1000,0.34,20,41240,113.6,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,120.6,0.000017,195.9,SI,130.6,110500
,C11000 ETP copper — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,113300,135,Curated engineering reference values; see Sources tab,8405,22.23,86.77,Metal,C11000ETPCOPPER,Isotropic,C11000 ETP copper,250,1000,0.34,20,40590,111.8,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,118.7,0.000017,192.8,SI,128.5,108800
,C12200 copper tube — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,112800,206.7,Curated engineering reference values; see Sources tab,8365,25.03,132.9,Metal,C12200COPPERTUBE,Isotropic,C12200 copper tube,250,1000,0.34,20,40390,171.2,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,118.1,0.000017,295.2,SI,196.8,108200
,C14500 tellurium copper — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,115200,211.2,Curated engineering reference values; see Sources tab,8549,26.09,135.8,Metal,C14500TELLURIUMC,Isotropic,C14500 tellurium copper,250,1000,0.34,20,41280,175,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,120.7,0.000017,301.7,SI,201.2,110600
,C14700 copper — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,117800,215.8,Curated engineering reference values; see Sources tab,8736,26.27,138.7,Metal,C14700COPPER,Isotropic,C14700 copper,250,1000,0.34,20,42180,178.8,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,123.3,0.000017,308.3,SI,205.5,113100
,C17200 beryllium copper — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,114800,462.8,Curated engineering reference values; see Sources tab,8516,28.06,297.5,Metal,C17200BERYLLIUMC,Isotropic,C17200 beryllium copper,250,1000,0.34,20,41120,383.5,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,120.2,0.000017,661.2,SI,440.8,110200
,C17500 beryllium copper — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,112500,453.5,Curated engineering reference values; see Sources tab,8343,24.24,291.5,Metal,C17500BERYLLIUMC,Isotropic,C17500 beryllium copper,250,1000,0.34,20,40290,375.7,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,117.8,0.000017,647.8,SI,431.9,108000
,C17510 beryllium copper — typical reference properties at approximately 20 °C. Not a certified material specification.,n5CopperAlloy,,,,117200,472.5,Curated engineering reference values; see Sources tab,8693,26.05,303.7,Metal,C17510BERYLLIUMC,Isotropic,C17510 beryllium copper,250,1000,0.34,20,41980,391.5,385,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,122.7,0.000017,675,SI,450,112500
