Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:youngsModulus
,Soda-lime float glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,42590,51.11,Curated engineering reference values; see Sources tab,2555,0.09863,23,Ceramic,SODALIMEFLOATGLA,Isotropic,Soda-lime float glass,400,1400,0.22,20,29330,29.64,800,1.227,0.000009,51.11,SI,71550
,Soda-lime annealed glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,42280,50.74,Curated engineering reference values; see Sources tab,2537,0.08752,22.83,Ceramic,SODALIMEANNEALED,Isotropic,Soda-lime annealed glass,400,1400,0.22,20,29110,29.43,800,1.218,0.000009,50.74,SI,71040
,Soda-lime tempered glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,43720,52.46,Curated engineering reference values; see Sources tab,2623,0.09299,23.61,Ceramic,SODALIMETEMPERED,Isotropic,Soda-lime tempered glass,400,1400,0.22,20,30100,30.43,800,1.259,0.000009,52.46,SI,73450
,Borosilicate 3.3 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,38160,50.09,Curated engineering reference values; see Sources tab,2234,0.1003,22.54,Ceramic,BOROSILICATE33,Isotropic,Borosilicate 3.3,500,820,0.22,20,26280,29.05,830,1.102,0.0000033,50.09,SI,64120
,Borosilicate optical glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,38970,51.14,Curated engineering reference values; see Sources tab,2281,0.1047,23.01,Ceramic,BOROSILICATEOPTI,Isotropic,Borosilicate optical glass,500,820,0.22,20,26830,29.66,830,1.125,0.0000033,51.14,SI,65460
,Fused silica transparent — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,44910,52.39,Curated engineering reference values; see Sources tab,2305,0.09365,23.58,Ceramic,FUSEDSILICATRANS,Isotropic,Fused silica transparent,900,1700,0.22,20,30920,30.39,740,1.467,0.00000055,52.39,SI,75450
,Fused silica opaque — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,40920,47.73,Curated engineering reference values; see Sources tab,2100,0.115,21.48,Ceramic,FUSEDSILICAOPAQU,Isotropic,Fused silica opaque,900,1700,0.22,20,28170,27.69,740,1.337,0.00000055,47.73,SI,68740
,Aluminosilicate glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,43370,52.05,Curated engineering reference values; see Sources tab,2602,0.1014,23.42,Ceramic,ALUMINOSILICATEG,Isotropic,Aluminosilicate glass,400,1400,0.22,20,29860,30.19,800,1.249,0.000009,52.05,SI,72870
,Chemically strengthened aluminosilicate — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,40520,48.62,Curated engineering reference values; see Sources tab,2431,0.09651,21.88,Ceramic,CHEMICALLYSTRENG,Isotropic,Chemically strengthened aluminosilicate,400,1400,0.22,20,27900,28.2,800,1.167,0.000009,48.62,SI,68070
,Tempered soda-lime glass — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Glass,,,,43720,52.46,Curated engineering reference values; see Sources tab,2623,0.09299,23.61,Ceramic,TEMPEREDSODALIME,Isotropic,Tempered soda-lime glass,400,1400,0.22,20,30100,30.43,800,1.259,0.000009,52.46,SI,73450
