Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:specificationStandard,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,ABS natural — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3050,49.92,Curated engineering reference values; see Sources tab,1038,11.21,26.95,Polymer,ABSNATURAL,Isotropic,ABS natural,80,0,0.38,20,795.8,34.74,1300,Representative resin/grade; verify manufacturer datasheet.,0.1797,0.00008,59.9,SI,49.92,2196
,ABS flame retardant — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3058,50.04,Curated engineering reference values; see Sources tab,1041,10.1,27.02,Polymer,ABSFLAMERETARDAN,Isotropic,ABS flame retardant,80,0,0.38,20,797.7,34.82,1300,Representative resin/grade; verify manufacturer datasheet.,0.1801,0.00008,60.04,SI,50.04,2202
,Acetal POM — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3617,52.08,Curated engineering reference values; see Sources tab,1146,9.561,28.12,Polymer,ACETALPOM,Isotropic,Acetal POM,100,200,0.38,20,943.5,36.25,1400,Representative resin/grade; verify manufacturer datasheet.,0.2604,0.00008,62.5,SI,52.08,2604
,Acetal POM GF25 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3487,50.21,Curated engineering reference values; see Sources tab,1105,10.69,27.11,Polymer,ACETALPOMGF25,Isotropic,Acetal POM GF25,100,200,0.38,20,909.6,34.95,1400,Representative resin/grade; verify manufacturer datasheet.,0.2511,0.00008,60.25,SI,50.21,2511
,Nylon 6 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3387,48.77,Curated engineering reference values; see Sources tab,1112,10.31,26.34,Polymer,NYLON6,Isotropic,Nylon 6,100,220,0.38,20,883.5,33.94,1700,Representative resin/grade; verify manufacturer datasheet.,0.2438,0.00008,58.52,SI,48.77,2438
,Nylon 6 GF30 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3365,48.46,Curated engineering reference values; see Sources tab,1105,10.18,26.17,Polymer,NYLON6GF30,Isotropic,Nylon 6 GF30,100,220,0.38,20,877.8,33.72,1700,Representative resin/grade; verify manufacturer datasheet.,0.2423,0.00008,58.15,SI,48.46,2423
,Nylon 6/6 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3477,50.07,Curated engineering reference values; see Sources tab,1142,8.948,27.04,Polymer,NYLON66,Isotropic,Nylon 6/6,100,220,0.38,20,907,34.85,1700,Representative resin/grade; verify manufacturer datasheet.,0.2503,0.00008,60.08,SI,50.07,2503
,Nylon 6/6 GF30 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3484,50.16,Curated engineering reference values; see Sources tab,1144,10.09,27.09,Polymer,NYLON66GF30,Isotropic,Nylon 6/6 GF30,100,220,0.38,20,908.8,34.91,1700,Representative resin/grade; verify manufacturer datasheet.,0.2508,0.00008,60.2,SI,50.16,2508
,Nylon 6/6 GF50 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3600,51.84,Curated engineering reference values; see Sources tab,1182,10.85,27.99,Polymer,NYLON66GF50,Isotropic,Nylon 6/6 GF50,100,220,0.38,20,939.1,36.08,1700,Representative resin/grade; verify manufacturer datasheet.,0.2592,0.00008,62.2,SI,51.84,2592
,Nylon 12 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Plastic,,,,3550,51.12,Curated engineering reference values; see Sources tab,1166,10.8,27.61,Polymer,NYLON12,Isotropic,Nylon 12,100,220,0.38,20,926.2,35.58,1700,Representative resin/grade; verify manufacturer datasheet.,0.2556,0.00008,61.35,SI,51.12,2556
