Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:specificationStandard,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,304 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,158600,358.8,Curated engineering reference values; see Sources tab,8285,43.61,230.7,Metal,304ANNEALED,Isotropic,304 annealed,600,1400,0.29,20,77470,297.3,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.57,0.000016,512.6,SI,233,199900
,304L annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,148800,336.7,Curated engineering reference values; see Sources tab,7773,39.73,216.4,Metal,304LANNEALED,Isotropic,304L annealed,600,1400,0.29,20,72680,278.9,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.55,0.000016,480.9,SI,218.6,187500
,304 cold worked — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,149400,525.6,Curated engineering reference values; see Sources tab,7802,38.87,337.9,Metal,304COLDWORKED,Isotropic,304 cold worked,600,1400,0.29,20,72950,435.5,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.6,0.000016,750.9,SI,341.3,188200
,316 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,155800,352.4,Curated engineering reference values; see Sources tab,8137,44.28,226.6,Metal,316ANNEALED,Isotropic,316 annealed,600,1400,0.29,20,76090,292,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.27,0.000016,503.5,SI,228.8,196300
,316L annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,159500,360.9,Curated engineering reference values; see Sources tab,8332,44.23,232,Metal,316LANNEALED,Isotropic,316L annealed,600,1400,0.29,20,77910,299,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.66,0.000016,515.6,SI,234.3,201000
,316 cold worked — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,158500,557.8,Curated engineering reference values; see Sources tab,8280,41.64,358.6,Metal,316COLDWORKED,Isotropic,316 cold worked,600,1400,0.29,20,77420,462.2,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.56,0.000016,796.9,SI,362.2,199700
,321 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,150800,341.2,Curated engineering reference values; see Sources tab,7877,36.74,219.3,Metal,321ANNEALED,Isotropic,321 annealed,600,1400,0.29,20,73660,282.7,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.75,0.000016,487.4,SI,221.5,190000
,347 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,153400,347,Curated engineering reference values; see Sources tab,8012,36.87,223.1,Metal,347ANNEALED,Isotropic,347 annealed,600,1400,0.29,20,74920,287.5,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.02,0.000016,495.8,SI,225.3,193300
,309 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,150700,340.9,Curated engineering reference values; see Sources tab,7871,35.74,219.2,Metal,309ANNEALED,Isotropic,309 annealed,600,1400,0.29,20,73600,282.5,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.74,0.000016,487,SI,221.4,189900
,310 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,152000,343.8,Curated engineering reference values; see Sources tab,7937,45.71,221,Metal,310ANNEALED,Isotropic,310 annealed,600,1400,0.29,20,74220,284.8,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.87,0.000016,491.1,SI,223.2,191500
,410 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,152900,345.9,Curated engineering reference values; see Sources tab,7986,44.83,222.4,Metal,410ANNEALED,Isotropic,410 annealed,600,1400,0.29,20,74680,286.6,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.97,0.000016,494.2,SI,224.6,192700
,410 hardened — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,153500,540.1,Curated engineering reference values; see Sources tab,8016,45.5,347.2,Metal,410HARDENED,Isotropic,410 hardened,600,1400,0.29,20,74950,447.5,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.03,0.000016,771.5,SI,350.7,193400
,420 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,150800,341.2,Curated engineering reference values; see Sources tab,7877,36.74,219.3,Metal,420ANNEALED,Isotropic,420 annealed,600,1400,0.29,20,73660,282.7,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.75,0.000016,487.4,SI,221.5,190000
,420 hardened — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,148300,939.2,Curated engineering reference values; see Sources tab,7744,39.85,603.8,Metal,420HARDENED,Isotropic,420 hardened,600,1400,0.29,20,72410,778.2,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.49,0.000016,1342,SI,609.9,186800
,430 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,158600,358.8,Curated engineering reference values; see Sources tab,8285,43.61,230.7,Metal,430ANNEALED,Isotropic,430 annealed,600,1400,0.29,20,77470,297.3,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.57,0.000016,512.6,SI,233,199900
,440A hardened — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,151000,531.3,Curated engineering reference values; see Sources tab,7886,34.39,341.5,Metal,440AHARDENED,Isotropic,440A hardened,600,1400,0.29,20,73740,440.2,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.77,0.000016,759,SI,345,190200
,440B hardened — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,155800,987,Curated engineering reference values; see Sources tab,8139,36.63,634.5,Metal,440BHARDENED,Isotropic,440B hardened,600,1400,0.29,20,76100,817.8,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.28,0.000016,1410,SI,640.9,196300
,440C hardened — typical reference properties at approximately 20 °C. Not a certified material specification.,n5StainlessSteel,,,,147000,930.9,Curated engineering reference values; see Sources tab,7676,39.34,598.4,Metal,440CHARDENED,Isotropic,440C hardened,600,1400,0.29,20,71770,771.3,500,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.35,0.000016,1330,SI,604.5,185200
