Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:specificationStandard,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,A36 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Steel,,,,171500,324.1,Curated engineering reference values; see Sources tab,8076,22.46,208.3,Metal,A36,Isotropic,A36,500,1450,0.3,20,79130,268.5,486,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,51.44,0.000012,462.9,SI,257.2,205700
,A53 Grade B — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Steel,,,,169500,320.3,Curated engineering reference values; see Sources tab,7983,18.52,205.9,Metal,A53GRADEB,Isotropic,A53 Grade B,500,1450,0.3,20,78220,265.4,486,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,50.85,0.000012,457.6,SI,254.2,203400
,A106 Grade B — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Steel,,,,161800,305.7,Curated engineering reference values; see Sources tab,7619,19.82,196.6,Metal,A106GRADEB,Isotropic,A106 Grade B,500,1450,0.3,20,74660,253.3,486,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,48.53,0.000012,436.8,SI,242.7,194100
,A500 Grade B — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Steel,,,,164300,310.5,Curated engineering reference values; see Sources tab,7738,18.68,199.6,Metal,A500GRADEB,Isotropic,A500 Grade B,500,1450,0.3,20,75820,257.3,486,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,49.28,0.000012,443.6,SI,246.4,197100
,A572 Grade 42 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Steel,,,,167500,395.6,Curated engineering reference values; see Sources tab,7887,19.86,254.3,Metal,A572GRADE42,Isotropic,A572 Grade 42,500,1450,0.3,20,77290,327.8,486,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,50.24,0.000012,565.2,SI,314,200900
,A572 Grade 50 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Steel,,,,164100,387.8,Curated engineering reference values; see Sources tab,7731,22.16,249.3,Metal,A572GRADE50,Isotropic,A572 Grade 50,500,1450,0.3,20,75750,321.3,486,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,49.24,0.000012,553.9,SI,307.7,197000
,A572 Grade 65 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Steel,,,,162000,382.8,Curated engineering reference values; see Sources tab,7631,22.09,246.1,Metal,A572GRADE65,Isotropic,A572 Grade 65,500,1450,0.3,20,74780,317.2,486,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,48.61,0.000012,546.8,SI,303.8,194400
,A588 Grade A — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Steel,,,,172900,408.6,Curated engineering reference values; see Sources tab,8145,19.93,262.6,Metal,A588GRADEA,Isotropic,A588 Grade A,500,1450,0.3,20,79820,338.5,486,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,51.88,0.000012,583.7,SI,324.3,207500
,A709 Grade 50 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Steel,,,,160700,379.6,Curated engineering reference values; see Sources tab,7568,20.4,244,Metal,A709GRADE50,Isotropic,A709 Grade 50,500,1450,0.3,20,74160,314.5,486,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,48.2,0.000012,542.3,SI,301.3,192800
,1010 cold rolled — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Steel,,,,172600,326.2,Curated engineering reference values; see Sources tab,8130,18.67,209.7,Metal,1010COLDROLLED,Isotropic,1010 cold rolled,500,1450,0.3,20,79670,270.3,486,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,51.78,0.000012,466.1,SI,258.9,207100
