Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:specificationStandard,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,Grade 1 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,101400,258,Curated engineering reference values; see Sources tab,4692,14.63,141.9,Metal,GRADE1ANNEALED,Isotropic,Grade 1 annealed,400,1660,0.32,20,41470,182.9,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.68,0.0000086,315.4,SI,258,109500
,Grade 2 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,92940,322.6,Curated engineering reference values; see Sources tab,4302,13.56,177.5,Metal,GRADE2ANNEALED,Isotropic,Grade 2 annealed,400,1660,0.32,20,38020,228.7,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.3,0.0000086,394.3,SI,322.6,100400
,Grade 3 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,94430,437.1,Curated engineering reference values; see Sources tab,4371,14.73,240.4,Metal,GRADE3ANNEALED,Isotropic,Grade 3 annealed,400,1660,0.32,20,38630,309.8,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.54,0.0000086,534.2,SI,437.1,102000
,Grade 4 annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,100400,464.9,Curated engineering reference values; see Sources tab,4649,14.99,255.7,Metal,GRADE4ANNEALED,Isotropic,Grade 4 annealed,400,1660,0.32,20,41090,329.6,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.53,0.0000086,568.2,SI,464.9,108500
,Grade 5 Ti-6Al-4V annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,99790,600.4,Curated engineering reference values; see Sources tab,4619,14.86,330.2,Metal,GRADE5TI6AL4VANN,Isotropic,Grade 5 Ti-6Al-4V annealed,400,1660,0.32,20,40820,425.6,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.42,0.0000086,733.9,SI,600.4,107800
,Grade 5 Ti-6Al-4V aged — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,99140,686,Curated engineering reference values; see Sources tab,4589,14.29,377.3,Metal,GRADE5TI6AL4VAGE,Isotropic,Grade 5 Ti-6Al-4V aged,400,1660,0.32,20,40560,486.3,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.32,0.0000086,838.5,SI,686,107100
,Grade 5 Ti-6Al-4V STA — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,95350,659.8,Curated engineering reference values; see Sources tab,4413,15.14,362.9,Metal,GRADE5TI6AL4VSTA,Isotropic,Grade 5 Ti-6Al-4V STA,400,1660,0.32,20,39010,467.7,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.69,0.0000086,806.4,SI,659.8,103000
,Grade 6 Ti-5Al-2.5Sn — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,96610,447.2,Curated engineering reference values; see Sources tab,4472,13.65,245.9,Metal,GRADE6TI5AL25SN,Isotropic,Grade 6 Ti-5Al-2.5Sn,400,1660,0.32,20,39520,317,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.9,0.0000086,546.5,SI,447.2,104300
,Grade 7 Ti-Pd — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,95910,443.9,Curated engineering reference values; see Sources tab,4439,14.51,244.2,Metal,GRADE7TIPD,Isotropic,Grade 7 Ti-Pd,400,1660,0.32,20,39240,314.7,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.78,0.0000086,542.6,SI,443.9,103600
,Grade 9 Ti-3Al-2.5V annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,99390,460,Curated engineering reference values; see Sources tab,4600,13.03,253,Metal,GRADE9TI3AL25VAN,Isotropic,Grade 9 Ti-3Al-2.5V annealed,400,1660,0.32,20,40660,326.1,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.36,0.0000086,562.3,SI,460,107300
,Grade 9 Ti-3Al-2.5V cold worked — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,100000,463,Curated engineering reference values; see Sources tab,4630,13.62,254.6,Metal,GRADE9TI3AL25VCO,Isotropic,Grade 9 Ti-3Al-2.5V cold worked,400,1660,0.32,20,40920,328.2,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.46,0.0000086,565.8,SI,463,108000
,Grade 12 Ti-0.3Mo-0.8Ni — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,97770,248.9,Curated engineering reference values; see Sources tab,4526,13.48,136.9,Metal,GRADE12TI03MO08N,Isotropic,Grade 12 Ti-0.3Mo-0.8Ni,400,1660,0.32,20,40000,176.4,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.09,0.0000086,304.2,SI,248.9,105600
,Grade 23 Ti-6Al-4V ELI — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,95970,333.1,Curated engineering reference values; see Sources tab,4442,16.07,183.2,Metal,GRADE23TI6AL4VEL,Isotropic,Grade 23 Ti-6Al-4V ELI,400,1660,0.32,20,39260,236.2,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.79,0.0000086,407.2,SI,333.1,103600
,Ti-6Al-2Sn-4Zr-2Mo — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,97090,449.4,Curated engineering reference values; see Sources tab,4494,16.93,247.2,Metal,TI6AL2SN4ZR2MO,Isotropic,Ti-6Al-2Sn-4Zr-2Mo,400,1660,0.32,20,39720,318.6,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.98,0.0000086,549.2,SI,449.4,104900
,Ti-6Al-4V beta annealed — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,92910,559.1,Curated engineering reference values; see Sources tab,4301,13.95,307.5,Metal,TI6AL4VBETAANNEA,Isotropic,Ti-6Al-4V beta annealed,400,1660,0.32,20,38010,396.3,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,15.29,0.0000086,683.3,SI,559.1,100300
,Ti-6Al-2Sn-4Zr-6Mo — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,98370,455.3,Curated engineering reference values; see Sources tab,4553,15.15,250.4,Metal,TI6AL2SN4ZR6MO,Isotropic,Ti-6Al-2Sn-4Zr-6Mo,400,1660,0.32,20,40240,322.8,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.19,0.0000086,556.5,SI,455.3,106200
,Ti-5Al-2.5Sn ELI — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Titanium,,,,97480,451.2,Curated engineering reference values; see Sources tab,4512,12.85,248.1,Metal,TI5AL25SNELI,Isotropic,Ti-5Al-2.5Sn ELI,400,1660,0.32,20,39880,319.8,520,Representative grade; verify governing ASTM/AMS/EN/ISO specification.,16.04,0.0000086,551.4,SI,451.2,105300
