Part Number,Description,Type,Revision,Status,Source Object Id,attr:bulkModulus,attr:compressiveStrength,attr:dataSource,attr:density,attr:elongationAtBreak,attr:enduranceLimit,attr:materialCategory,attr:materialCode,attr:materialModel,attr:materialName,attr:maxServiceTemperature,attr:meltingSofteningPoint,attr:poissonsRatio,attr:referenceTemperature,attr:shearModulus,attr:shearStrength,attr:specificHeatCapacity,attr:thermalConductivity,attr:thermalExpansionCoeff,attr:ultimateTensileStrength,attr:unitSystem,attr:yieldStrength,attr:youngsModulus
,Douglas Fir — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,11980,48.04,Curated engineering reference values; see Sources tab,539.3,1.02,30.88,Composite,DOUGLASFIR,Orthotropic,Douglas Fir,80,0,0.35,20,3995,39.81,1600,0.1275,0.000004,68.63,SI,39.22,10790
,Douglas Fir LVL — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12750,51.1,Curated engineering reference values; see Sources tab,573.6,1.023,32.85,Composite,DOUGLASFIRLVL,Orthotropic,Douglas Fir LVL,80,0,0.35,20,4249,42.34,1600,0.1356,0.000004,73.01,SI,41.72,11470
,Southern Yellow Pine — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12490,50.07,Curated engineering reference values; see Sources tab,562,0.9577,32.19,Composite,SOUTHERNYELLOWPI,Orthotropic,Southern Yellow Pine,80,0,0.35,20,4163,41.48,1600,0.1328,0.000004,71.52,SI,40.87,11240
,Southern Yellow Pine No.2 — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12310,49.34,Curated engineering reference values; see Sources tab,553.9,1.124,31.72,Composite,SOUTHERNYELLOWPI,Orthotropic,Southern Yellow Pine No.2,80,0,0.35,20,4103,40.89,1600,0.1309,0.000004,70.49,SI,40.28,11080
,Western Red Cedar — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,11710,46.93,Curated engineering reference values; see Sources tab,526.8,1.017,30.17,Composite,WESTERNREDCEDAR,Orthotropic,Western Red Cedar,80,0,0.35,20,3902,38.89,1600,0.1245,0.000004,67.05,SI,38.31,10540
,Eastern White Pine — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,11730,47.01,Curated engineering reference values; see Sources tab,527.6,1.029,30.22,Composite,EASTERNWHITEPINE,Orthotropic,Eastern White Pine,80,0,0.35,20,3908,38.95,1600,0.1247,0.000004,67.15,SI,38.37,10550
,Radiata Pine — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12180,48.82,Curated engineering reference values; see Sources tab,548,1.032,31.39,Composite,RADIATAPINE,Orthotropic,Radiata Pine,80,0,0.35,20,4059,40.45,1600,0.1295,0.000004,69.75,SI,39.86,10960
,Ponderosa Pine — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12110,48.56,Curated engineering reference values; see Sources tab,545.1,0.881,31.22,Composite,PONDEROSAPINE,Orthotropic,Ponderosa Pine,80,0,0.35,20,4038,40.24,1600,0.1288,0.000004,69.38,SI,39.64,10900
,Lodgepole Pine — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,11810,47.34,Curated engineering reference values; see Sources tab,531.4,0.869,30.43,Composite,LODGEPOLEPINE,Orthotropic,Lodgepole Pine,80,0,0.35,20,3936,39.22,1600,0.1256,0.000004,67.63,SI,38.64,10630
,Sitka Spruce — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12410,49.75,Curated engineering reference values; see Sources tab,558.5,1.135,31.98,Composite,SITKASPRUCE,Orthotropic,Sitka Spruce,80,0,0.35,20,4137,41.22,1600,0.132,0.000004,71.08,SI,40.62,11170
,Norway Spruce — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12780,51.22,Curated engineering reference values; see Sources tab,575,0.9082,32.93,Composite,NORWAYSPRUCE,Orthotropic,Norway Spruce,80,0,0.35,20,4259,42.44,1600,0.1359,0.000004,73.18,SI,41.81,11500
,White Spruce — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12500,50.1,Curated engineering reference values; see Sources tab,562.3,0.9721,32.21,Composite,WHITESPRUCE,Orthotropic,White Spruce,80,0,0.35,20,4165,41.51,1600,0.1329,0.000004,71.57,SI,40.9,11250
,Black Spruce — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12280,49.22,Curated engineering reference values; see Sources tab,552.4,0.8941,31.64,Composite,BLACKSPRUCE,Orthotropic,Black Spruce,80,0,0.35,20,4092,40.78,1600,0.1306,0.000004,70.31,SI,40.18,11050
,Red Spruce — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12050,48.3,Curated engineering reference values; see Sources tab,542.2,1.01,31.05,Composite,REDSPRUCE,Orthotropic,Red Spruce,80,0,0.35,20,4016,40.02,1600,0.1282,0.000004,69,SI,39.43,10840
,Engelmann Spruce — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12780,51.22,Curated engineering reference values; see Sources tab,574.9,0.8822,32.93,Composite,ENGELMANNSPRUCE,Orthotropic,Engelmann Spruce,80,0,0.35,20,4259,42.44,1600,0.1359,0.000004,73.17,SI,41.81,11500
,Sugar Maple — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,18230,73.08,Curated engineering reference values; see Sources tab,820.3,0.9859,46.98,Composite,SUGARMAPLE,Orthotropic,Sugar Maple,80,0,0.35,20,6076,60.55,1600,0.1551,0.000004,104.4,SI,59.66,16410
,Hard Maple — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,18560,74.41,Curated engineering reference values; see Sources tab,835.2,0.9856,47.84,Composite,HARDMAPLE,Orthotropic,Hard Maple,80,0,0.35,20,6187,61.65,1600,0.1579,0.000004,106.3,SI,60.74,16700
,Soft Maple — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,19100,76.57,Curated engineering reference values; see Sources tab,859.5,0.8924,49.22,Composite,SOFTMAPLE,Orthotropic,Soft Maple,80,0,0.35,20,6366,63.44,1600,0.1625,0.000004,109.4,SI,62.51,17190
,Red Oak — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,18980,76.08,Curated engineering reference values; see Sources tab,854,0.8798,48.91,Composite,REDOAK,Orthotropic,Red Oak,80,0,0.35,20,6326,63.04,1600,0.1615,0.000004,108.7,SI,62.11,17080
,White Oak — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,17780,71.29,Curated engineering reference values; see Sources tab,800.2,1.067,45.83,Composite,WHITEOAK,Orthotropic,White Oak,80,0,0.35,20,5927,59.07,1600,0.1513,0.000004,101.8,SI,58.19,16000
,Black Oak — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,18460,74.03,Curated engineering reference values; see Sources tab,830.9,1.006,47.59,Composite,BLACKOAK,Orthotropic,Black Oak,80,0,0.35,20,6155,61.34,1600,0.1571,0.000004,105.8,SI,60.43,16620
,Red Birch — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,11740,47.08,Curated engineering reference values; see Sources tab,528.5,0.9965,30.27,Composite,REDBIRCH,Orthotropic,Red Birch,80,0,0.35,20,3915,39.01,1600,0.1249,0.000004,67.26,SI,38.44,10570
,Yellow Birch — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12350,49.53,Curated engineering reference values; see Sources tab,555.9,0.9664,31.84,Composite,YELLOWBIRCH,Orthotropic,Yellow Birch,80,0,0.35,20,4118,41.04,1600,0.1314,0.000004,70.76,SI,40.43,11120
,Paper Birch — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12590,50.46,Curated engineering reference values; see Sources tab,566.3,0.995,32.44,Composite,PAPERBIRCH,Orthotropic,Paper Birch,80,0,0.35,20,4195,41.81,1600,0.1339,0.000004,72.08,SI,41.19,11330
,American Beech — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,18090,72.51,Curated engineering reference values; see Sources tab,813.9,1.112,46.62,Composite,AMERICANBEECH,Orthotropic,American Beech,80,0,0.35,20,6029,60.08,1600,0.1539,0.000004,103.6,SI,59.2,16280
,European Beech — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,18640,74.72,Curated engineering reference values; see Sources tab,838.7,1.076,48.03,Composite,EUROPEANBEECH,Orthotropic,European Beech,80,0,0.35,20,6212,61.91,1600,0.1586,0.000004,106.7,SI,60.99,16770
,White Ash — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,17790,71.34,Curated engineering reference values; see Sources tab,800.8,0.9911,45.86,Composite,WHITEASH,Orthotropic,White Ash,80,0,0.35,20,5932,59.11,1600,0.1514,0.000004,101.9,SI,58.24,16020
,Green Ash — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,19060,76.4,Curated engineering reference values; see Sources tab,857.6,0.8564,49.11,Composite,GREENASH,Orthotropic,Green Ash,80,0,0.35,20,6352,63.3,1600,0.1622,0.000004,109.1,SI,62.37,17150
,Black Walnut — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,12240,49.05,Curated engineering reference values; see Sources tab,550.6,0.9944,31.53,Composite,BLACKWALNUT,Orthotropic,Black Walnut,80,0,0.35,20,4078,40.64,1600,0.1301,0.000004,70.07,SI,40.04,11010
,American Cherry — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,11970,48,Curated engineering reference values; see Sources tab,538.8,1.077,30.86,Composite,AMERICANCHERRY,Orthotropic,American Cherry,80,0,0.35,20,3991,39.77,1600,0.1274,0.000004,68.57,SI,39.19,10780
,Hickory — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,18700,74.98,Curated engineering reference values; see Sources tab,841.6,0.9482,48.2,Composite,HICKORY,Orthotropic,Hickory,80,0,0.35,20,6234,62.13,1600,0.1591,0.000004,107.1,SI,61.21,16830
,Poplar — typical reference properties at approximately 20 °C. Not a certified material specification.,n5Wood,,,,11970,48,Curated engineering reference values; see Sources tab,538.8,1.144,30.86,Composite,POPLAR,Orthotropic,Poplar,80,0,0.35,20,3991,39.77,1600,0.1273,0.000004,68.57,SI,39.18,10780
